2018120	3	4	18	26	27	33	1
2018119	3	13	14	16	25	27	12
2018118	8	12	21	22	27	31	9
2018117	8	11	15	17	23	25	5
2018116	5	14	17	22	23	28	15
2018115	1	13	19	24	26	29	11
2018114	1	7	15	16	20	27	14
2018113	1	6	9	16	25	26	9
2018112	5	8	18	25	26	31	4
2018111	1	7	14	24	25	28	8
2018110	11	13	16	21	22	23	2
2018109	10	11	18	23	31	33	15
2018108	5	13	18	21	26	30	2
2018107	1	2	5	12	20	22	1
2018106	4	18	19	24	25	26	10
2018105	4	5	13	18	19	25	1
2018104	2	3	6	19	25	29	1
2018103	2	9	15	22	23	24	16
2018102	2	6	11	19	21	28	5
2018101	1	3	14	26	29	33	9
